BIDAR,BELLARY,BELGAUM,BANGALORE URBAN,BANGALORE RURAL,BAGALKOT,DAKSHIN KANNAD,CHITRADURG,CHIKKAMAGALURU,CHIKKABALLAPUR,CHAMARAJANAGAR,BIJAPUR,KALABURAGI,HAVERI,HASSAN,GADAG,DHARWAD,DAVANGERE,RAICHUR,MYSORE,MANDYA,KOPPAL,KOLAR,KODAGU,YADGIR,UTTAR KANNADA,UDUPI,TUMKUR,SHIMOGA,RAMANAGAR
2100805,4841015,6669748,53745884,2368917,3711497,8623571,2456190,3317724,2026058,1731905,2802480,3152421,2225782,3294316,1514274,3572828,2923572,2489219,5188997,3708275,1708870,2531800,836708,1398662,2684980,3939123,5718626,4296578,2358289
2121841.333,4873658.167,6686965.167,54216999.92,2377437.333,3732348.25,8675922,2476710.5,3366003.167,2029174.917,1743836.5,2829118.167,3158420,2230961.333,3330818.917,1537098.417,3603881,2934607.417,2514929.833,5228466.333,3730685.667,1725232.833,2547757.083,875037.9167,1419728.25,2702774.25,3960053.917,5748127.667,4321311.583,2376166.333
2142877.667,4906301.333,6704182.333,54688115.83,2385957.667,3753199.5,8728273,2497231,3414282.333,2032291.833,1755768,2855756.333,3164419,2236140.667,3367321.833,1559922.833,3634934,2945642.833,2540640.667,5267935.667,3753096.333,1741595.667,2563714.167,913367.8333,1440794.5,2720568.5,3980984.833,5777629.333,4346045.167,2394043.667
2163914,4938944.5,6721399.5,55159231.75,2394478,3774050.75,8780624,2517751.5,3462561.5,2035408.75,1767699.5,2882394.5,3170418,2241320,3403824.75,1582747.25,3665987,2956678.25,2566351.5,5307405,3775507,1757958.5,2579671.25,951697.75,1461860.75,2738362.75,4001915.75,5807131,4370778.75,2411921
2184950.333,4971587.667,6738616.667,55630347.67,2402998.333,3794902,8832975,2538272,3510840.667,2038525.667,1779631,2909032.667,3176417,2246499.333,3440327.667,1605571.667,3697040,2967713.667,2592062.333,5346874.333,3797917.667,1774321.333,2595628.333,990027.6667,1482927,2756157,4022846.667,5836632.667,4395512.333,2429798.333
2205986.667,5004230.833,6755833.833,56101463.58,2411518.667,3815753.25,8885326,2558792.5,3559119.833,2041642.583,1791562.5,2935670.833,3182416,2251678.667,3476830.583,1628396.083,3728093,2978749.083,2617773.167,5386343.667,3820328.333,1790684.167,2611585.417,1028357.583,1503993.25,2773951.25,4043777.583,5866134.333,4420245.917,2447675.667
2227023,5036874,6773051,56572579.5,2420039,3836604.5,8937677,2579313,3607399,2044759.5,1803494,2962309,3188415,2256858,3513333.5,1651220.5,3759146,2989784.5,2643484,5425813,3842739,1807047,2627542.5,1066687.5,1525059.5,2791745.5,4064708.5,5895636,4444979.5,2465553
2248059.333,5069517.167,6790268.167,57043695.42,2428559.333,3857455.75,8990028,2599833.5,3655678.167,2047876.417,1815425.5,2988947.167,3194414,2262037.333,3549836.417,1674044.917,3790199,3000819.917,2669194.833,5465282.333,3865149.667,1823409.833,2643499.583,1105017.417,1546125.75,2809539.75,4085639.417,5925137.667,4469713.083,2483430.333
2269095.667,5102160.333,6807485.333,57514811.33,2437079.667,3878307,9042379,2620354,3703957.333,2050993.333,1827357,3015585.333,3200413,2267216.667,3586339.333,1696869.333,3821252,3011855.333,2694905.667,5504751.667,3887560.333,1839772.667,2659456.667,1143347.333,1567192,2827334,4106570.333,5954639.333,4494446.667,2501307.667
2290132,5134803.5,6824702.5,57985927.25,2445600,3899158.25,9094730,2640874.5,3752236.5,2054110.25,1839288.5,3042223.5,3206412,2272396,3622842.25,1719693.75,3852305,3022890.75,2720616.5,5544221,3909971,1856135.5,2675413.75,1181677.25,1588258.25,2845128.25,4127501.25,5984141,4519180.25,2519185
2311168.333,5167446.667,6841919.667,58457043.17,2454120.333,3920009.5,9147081,2661395,3800515.667,2057227.167,1851220,3068861.667,3212411,2277575.333,3659345.167,1742518.167,3883358,3033926.167,2746327.333,5583690.333,3932381.667,1872498.333,2691370.833,1220007.167,1609324.5,2862922.5,4148432.167,6013642.667,4543913.833,2537062.333
2332204.667,5200089.833,6859136.833,58928159.08,2462640.667,3940860.75,9199432,2681915.5,3848794.833,2060344.083,1863151.5,3095499.833,3218410,2282754.667,3695848.083,1765342.583,3914411,3044961.583,2772038.167,5623159.667,3954792.333,1888861.167,2707327.917,1258337.083,1630390.75,2880716.75,4169363.083,6043144.333,4568647.417,2554939.667
2353241,5232733,6876354,59399275,2471161,3961712,9251783,2702436,3897074,2063461,1875083,3122138,3224409,2287934,3732351,1788167,3945464,3055997,2797749,5662629,3977203,1905224,2723285,1296667,1651457,2898511,4190294,6072646,4593381,2572817
2351491,5228739.667,6873591.917,59534652.75,2466396.75,3960608.5,9242775.083,2723244.667,3897380.083,2073164.667,1873415.417,3118626.25,3226093.583,2290954.833,3745824.75,1773099.083,3929695.083,3065013.75,2797540.5,5666247.5,3984551,1907151.167,2726473.833,1311596.917,1646896.833,2898917.5,4197894.5,6087175.417,4625969.5,2571067.25
2349741,5224746.333,6870829.833,59670030.5,2461632.5,3959505,9233767.167,2744053.333,3897686.167,2082868.333,1871747.833,3115114.5,3227778.167,2293975.667,3759298.5,1758031.167,3913926.167,3074030.5,2797332,5669866,3991899,1909078.333,2729662.667,1326526.833,1642336.667,2899324,4205495,6101704.833,4658558,2569317.5
2347991,5220753,6868067.75,59805408.25,2456868.25,3958401.5,9224759.25,2764862,3897992.25,2092572,1870080.25,3111602.75,3229462.75,2296996.5,3772772.25,1742963.25,3898157.25,3083047.25,2797123.5,5673484.5,3999247,1911005.5,2732851.5,1341456.75,1637776.5,2899730.5,4213095.5,6116234.25,4691146.5,2567567.75
2346241,5216759.667,6865305.667,59940786,2452104,3957298,9215751.333,2785670.667,3898298.333,2102275.667,1868412.667,3108091,3231147.333,2300017.333,3786246,1727895.333,3882388.333,3092064,2796915,5677103,4006595,1912932.667,2736040.333,1356386.667,1633216.333,2900137,4220696,6130763.667,4723735,2565818
2344491,5212766.333,6862543.583,60076163.75,2447339.75,3956194.5,9206743.417,2806479.333,3898604.417,2111979.333,1866745.083,3104579.25,3232831.917,2303038.167,3799719.75,1712827.417,3866619.417,3101080.75,2796706.5,5680721.5,4013943,1914859.833,2739229.167,1371316.583,1628656.167,2900543.5,4228296.5,6145293.083,4756323.5,2564068.25
2342741,5208773,6859781.5,60211541.5,2442575.5,3955091,9197735.5,2827288,3898910.5,2121683,1865077.5,3101067.5,3234516.5,2306059,3813193.5,1697759.5,3850850.5,3110097.5,2796498,5684340,4021291,1916787,2742418,1386246.5,1624096,2900950,4235897,6159822.5,4788912,2562318.5
2340991,5204779.667,6857019.417,60346919.25,2437811.25,3953987.5,9188727.583,2848096.667,3899216.583,2131386.667,1863409.917,3097555.75,3236201.083,2309079.833,3826667.25,1682691.583,3835081.583,3119114.25,2796289.5,5687958.5,4028639,1918714.167,2745606.833,1401176.417,1619535.833,2901356.5,4243497.5,6174351.917,4821500.5,2560568.75
2339241,5200786.333,6854257.333,60482297,2433047,3952884,9179719.667,2868905.333,3899522.667,2141090.333,1861742.333,3094044,3237885.667,2312100.667,3840141,1667623.667,3819312.667,3128131,2796081,5691577,4035987,1920641.333,2748795.667,1416106.333,1614975.667,2901763,4251098,6188881.333,4854089,2558819
